1,0,1,5,0,0,0,0,0,0,0,0
1,1,1,3,0,0,0,0,0,0,0,0
1,2,1,3,0,0,0,0,0,0,0,0
1,3,1,3,0,0,0,0,0,0,0,0
2,0,1,5,1019,361,352,130,0,0,0.535714,1.48809e-05
2,1,1,3,739,241,60,64,0,0,0,0
2,2,1,3,1604.5,376.5,175,75,0,0,0,0
2,3,1,3,995,171,34,30,0,0,0,0
3,0,1,5,1018.5,360.5,351,129,-18.6925,0.782903,-42.7713,1.81267
3,1,1,3,739,241,60,64,-1.56589,-2.3322e-06,-3.62781,-9.66496e-05
3,2,1,3,1604.5,376.5,175,75,-10.1783,-1.8489e-05,-23.5808,-0.000654163
3,3,1,3,995,171,34,30,-0.78292,0.782946,-1.81391,1.81388
4,0,1,5,1011,361,354,138,-45.2796,1.47649,-76.7331,2.70715
4,1,1,3,738,240,60,64,-6.93272,7.35932e-06,-10.4097,-0.000244608
4,2,1,3,1599.5,375.5,175,75,-53.0204,-7.95827,-77.6415,-9.98172
4,3,1,3,994.5,171,33,30,-1.47691,1.47695,-2.71023,2.71022
5,0,1,5,1005,361.5,362,143,-78.2956,1.4664,-105.728,2.74776
5,1,1,3,737,240,60,64,-15.2125,-0.000293806,-17.5336,-0.000908315
5,2,1,3,1592,375,184,72,-92.4946,-5.99356,-112.27,-8.61261
5,3,1,3,994,171.5,32,31,4.72398,1.46575,2.40269,2.75021
6,0,1,5,999,361.5,362,145,-119.573,4.72562,-133.082,4.74981
6,1,1,3,735.5,240,61,64,-19.9233,3.87046e-05,-20.8645,-0.000703322
6,2,1,3,1584.5,374.5,189,71,-148.226,-2.42066,-148.762,-6.67227
6,3,1,3,995,171.5,32,31,0.119666,0.725153,-0.199896,2.35497
7,0,1,5,992,361.5,364,145,-169.187,9.97691,-159.852,7.32095
7,1,1,3,734.5,240,61,64,-20.9202,0.00119266,-21.9864,0.000380085
7,2,1,3,1577,375,194,70,-215.972,11.4369,-184.815,-0.38948
7,3,1,3,994,171.5,32,31,-12.1752,9.08212,-5.84231,6.21675
8,0,1,5,984,361.5,364,143,-146.119,4.99196,-156.83,5.78536
8,1,1,3,734,240,60,64,-13.5074,0.00200822,-19.9004,0.00130617
8,2,1,3,1567.5,375.5,197,71,-189.2,19.8775,-181.961,3.16311
8,3,1,3,993,172,32,32,-17.4072,17.2844,-8.21271,9.59906
